Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station32
11.16666667,14.16666667,14.83333333,13.16666667,11.66666667,11.33333333,12.66666667,11.33333333,10.66666667,11.16666667,13,11.33333333,11.5,11.16666667,9.5,15.16666667,12,10.66666667,10,12.33333333,10.16666667,12.33333333,13.33333333,11.33333333,10,14.33333333,12.83333333,11.16666667,11.33333333,11.5,8.666666667
10.16666667,16,15.33333333,14.83333333,13.5,13,12.66666667,9.833333333,10.66666667,11,12.83333333,17.83333333,12,14,10.66666667,13.66666667,15,15.5,12.83333333,12.5,11.66666667,13.5,12.66666667,11.83333333,11.16666667,14.66666667,11.83333333,11.33333333,13.16666667,10.16666667,9.333333333
15.83333333,19.66666667,24,22.66666667,12,13.33333333,18.83333333,11.66666667,18.83333333,15,18.16666667,19.66666667,14.5,17.33333333,15.5,19.83333333,19.16666667,23.5,19.16666667,17,19.66666667,15.16666667,17.5,15.33333333,11.16666667,22.5,18,12.83333333,18.66666667,15.5,17.66666667
23.33333333,27.66666667,26.66666667,24.66666667,19.16666667,21.83333333,20.83333333,18.16666667,21.66666667,19.66666667,26.2,26.16666667,24,23.83333333,18.33333333,28,28.83333333,25.83333333,22.66666667,24,22.66666667,27.83333333,24.33333333,21.5,17.16666667,27.5,24.66666667,18.83333333,27,21.66666667,21.66666667
23.5,31.83333333,31.83333333,24.83333333,22,26.5,27.16666667,19.5,23.83333333,22.33333333,23.5,27,23.83333333,29.16666667,22.16666667,32,31.66666667,28.5,24.5,29,25.33333333,32.83333333,28.5,25.66666667,17.5,25.66666667,25,22.66666667,27.66666667,24.16666667,27
24.33333333,33.16666667,31,24.83333333,28.66666667,27,27.66666667,23.83333333,23.5,20.66666667,22.83333333,24.16666667,30.66666667,35.83333333,23,32.66666667,35.33333333,28.33333333,23.83333333,26.83333333,26,32.83333333,31.66666667,26,15.5,26.33333333,30.16666667,27.16666667,33.33333333,26.83333333,31.16666667
31.83333333,41.33333333,40,33.33333333,33.16666667,35.66666667,34.5,29.16666667,31.33333333,28,31.16666667,35.5,37.16666667,40.33333333,30.33333333,42.5,43,35.66666667,32.33333333,35.33333333,33.16666667,39.16666667,38.83333333,32.83333333,22.5,35.83333333,36.66666667,32.5,42.33333333,33.5,42.16666667
34.66666667,43.66666667,43.66666667,36.66666667,39.66666667,39.5,39.66666667,35.16666667,34.83333333,32.33333333,35.5,39.5,41.5,47.83333333,34.66666667,45.83333333,47.33333333,39.83333333,37.5,37.83333333,38.5,43.16666667,42.83333333,36.16666667,27.5,38.83333333,38.33333333,35.5,47.33333333,36.66666667,47.83333333
36.5,46.16666667,45.83333333,39.16666667,38.16666667,39.16666667,41.16666667,34.66666667,36,36.5,38.5,44.33333333,40.5,47.33333333,37.5,46.66666667,47.33333333,41.16666667,38.33333333,39.33333333,40.66666667,44.5,42.66666667,39.16666667,31.5,41.5,41.16666667,38,48.33333333,37.33333333,48.33333333
36.83333333,48.66666667,46.66666667,39.5,37.83333333,41.6,44,35.16666667,37,37.33333333,38.66666667,42.5,41.66666667,47.16666667,39,46,49.5,43.16666667,40.16666667,41.16666667,40.5,46.16666667,43.5,39,30.16666667,42,41.83333333,39.5,49.16666667,37.83333333,47.6
37.33333333,49.16666667,46.33333333,41.66666667,34.83333333,38.5,43.5,32.66666667,37.33333333,37.83333333,43.66666667,46.66666667,42.66666667,47.5,38.33333333,45.66666667,47,44,39.33333333,40.83333333,40.66666667,46.16666667,43.5,38.66666667,34,45.16666667,41.66666667,39.16666667,46.16666667,37.5,48.33333333
36.5,50.16666667,45.5,40.5,34.66666667,37.66666667,42,31,34.83333333,35.83333333,40.5,47.66666667,39.5,42.66666667,35.66666667,43.5,44,45.16666667,39.33333333,37.33333333,40.16666667,43.5,40.33333333,37.5,36.66666667,43.83333333,39.16666667,37.33333333,45.33333333,35.83333333,47.33333333
33.83333333,42.33333333,43.16666667,37,32.5,34.66666667,39.16666667,29.33333333,33.83333333,35.16666667,38.83333333,50.33333333,37.83333333,40.16666667,33.16666667,39,40.5,41.83333333,35.5,36.5,36.83333333,40,37.5,36,33.66666667,40.66666667,37,35.16666667,41.66666667,32.83333333,44.33333333
